conm,gvkey,tic
CAN-BANC NT CORP,026089,XCN.A
TCW/DW TERM TR 2002,026090,TRM.2
DIA MET MINERALS LTD  -CL B,026096,DMM.B
VAN KAMPEN MUN INCOME TR,026098,VMT
VAN KAMPEN ADVANTAGE PA MUN,026099,VAP
VAN KAMPEN ADVANTAGE MUN INC,026100,VKA
ENCAL ENERGY LTD,026101,ECA.2
NUVEEN SELECT MAT MUN FD,026104,NIM
PUTNAM CALIF INVT GRADE MUN,026108,PCA.2
PUTNAM MUNICIPAL BOND FUND,026109,PMG.1
PUTNAM N Y INVT GRADE MUN TR,026110,PMN
INVESCO QUALITY MUNI INCOME,026116,IQI
RNC GOLD INC,026124,RNC.
SUNWAH INTERNATIONAL LTD,026125,SWH.
AMERICAN RENAL ASSOCS HLDGS,026126,ARA
CAMBERLY ENERGY LTD,026129,CEL.5
AKITA DRILLING LTD  -CL A,026131,AKTAF
ITEMUS INC,026136,ITMUQ
ANPULO FOOD INC,026142,ANPFF
QUORUM HEALTH CORP,026157,QHC
LIQUIDATION WORLD INC,026171,LIQWF
MOUNTAIN PROVINCE DIAMONDS,026189,MPVD
MADISON MINERALS INC,026193,MMRSF
OCTUS INC,026201,OCTI
FORUM ENERGY METALS CORP,026203,FDCFF
MEDITERRANEAN RESOURCES LTD,026208,MNRUF
TRIUMPH ENERGY CORP,026228,TPH.2
GLOBAL GAMING TECHNOLOGIES,026233,BLKCF
MILNER CONS SILVER MINES LTD,026236,MCA.H
MIRAMAR MINING CORP,026244,MNG
VISION-SCIENCES INC,026246,VSCI
DISC INC,026247,DCSR
ZI CORP,026264,ZICA
BIOSCRYPT INC,026271,BYT.Z
NHC COMMUNICATIONS INC,026277,NHCMF
NEWPORT PETROLEUM CORP,026302,NPP.1
AIMGLOBAL TECHNOLOGIES INC,026325,AIMG
NORTHERN ORION RESOURCES INC,026342,NTO
NORTHFIELD INC,026348,NFM.
STRATHMORE MINERALS CORP,026350,STHJF
ADEX MINING INC,026353,ADXDF
PETAQUILLA MINERALS LTD,026355,PTQMF
NOVADIGM INC,026360,NVDM
RED ROCK RESORTS INC,026361,RRR
OSI GEOSPATIAL INC,026374,OSIIF.1
OLYMPIA ENERGY INC,026378,OLY.1
BESRA GOLD INC,026379,BSRAF
FRESHXTEND TECHNOLOGIES CORP,026405,FXT.Z
PACIFIC STRATUS ENERGY LTD,026407,PSE.Z
TELCOPLUS ENTERPRISES INC,026419,TLP.
SEAHAWK MINERALS LTD,026443,SKM.Z
PARAMOUNT VENTURE&FIN  -CL A,026449,PVF.1
DATAWEST SOLUTIONS INC,026473,DS.1
WELBILT INC,026495,WBT
DATAWAVE SYSTEMS INC,026506,3DWVS
NEO MATERIAL TECHNOLOGIES,026511,NEMFF
SCHMITT INDUSTRIES INC/OR,026520,SMIT
NYFIX INC,026523,NYFX
INDEPENDENT FACT LTD  -CL A,026526,IDT.Z
ELDORADO GOLD CORP,026539,EGO
RMR GROUP INC,026545,RMR
RAYMOR INDUSTRIES INC,026551,RAR.
INFOCROSSING INC,026557,IFOX
REPADRE CAPITAL CORP,026575,RPD.1
HAHN AUTOMOTIVE WHSE INC,026582,HAHN
WEX PHARMACEUTICALS INC,026583,WXIFF
AIR PACKAGING TECHNOLOGY INC,026592,AIRP
RICHLAND PETROLEUM CORP-CL A,026603,RLP.1
PACIFIC PARADYM ENERGY INC,026628,PPEVF
AVANGRID INC,026658,AGR
DEALNET CAPITAL CORP,026659,GAIMF
MPX BIOCEUTICAL CORPORATION,026666,MPXEF
ALPINE OIL SERVICES CORP,026673,ASL.1
ALTAI RESOURCES INC,026675,ARSEF
GEOCORE EXPLORATION INC,026702,GEX.1
GOLDEN PALM RESOURCES LTD,026703,GPR.1
APEX CORP,026705,AXD.A
VERSUM MATERIALS INC,026709,VSM
KEYWEST ENERGY CORP,026715,KWE.1
PRD ENERGY INC,026718,PREGF
SHEFFIELD PHARMACEUTICALS,026747,3SFPH
RAINY RIVER RESOURCES LTD,026748,RRFFF.
HERC HOLDINGS INC,026749,HRI
ADVANCED PROTEOME THERAPETCS,026761,APTCF
SSR MINING INC,026768,SSRM
BONAVISTA ENERGY CORP,026796,BNPUF
ASIA PACIFIC RESOURCES LTD,026800,APQCF
NEWKIDCO INTL INC,026821,NKCI
BERWICK RETIREMENT COMMUN,026829,BWK.Z
NAMIBIAN MINERALS CORP,026830,NMCO
SOUTHWARD ENERGY LTD,026836,SWN.1
SPATIALIZER AUDIO LABS INC,026837,SPZR
STARBASE CORP,026852,SBAS
STEEPLEJACK INDL GROUP INC,026859,SID.Z
SUN ENTERTAINMENT HOLDING CP,026879,SETHF
AUTOIMMUNE INC,026898,AIMM
CHAMPION INDUSTRIES INC,026900,CHMP
TVI PACIFIC INC,026906,TVIPF
SENSUS HEALTHCARE INC,026908,SRTS
PML INC,026909,PMLN
TANZANIAN GOLD CORPORATION,026914,TRX
DUFF & PHELPS UTIL &CP BD TR,026930,DUC
WESTERN ASST HI INCM FD INC,026934,HIF
VAN KAMPEN STRATEGIC SECTOR,026935,VKS
ATNA RESOURCES LTD,026938,ATNAQ
BUFFALO GOLD LTD,026952,BYBUF
BRAZAURO RESOURCES CORP,026967,BZOF
THERMO TECH TECHNOLOGIES INC,026969,TTRI
B C PACIFIC CAPITAL CORP,026970,BPQ.Z
MENA RESOURCES INC,026985,MEA.Z
TRANSALTA UTILITIES CORP,026999,TA5
DRAIG ENERGY LTD,027003,DRA.1
ELK POINT RESOURCES INC,027009,ELK.
ENERCHEM INTL INC,027011,ECH.Z
ENSIGN ENERGY SERVICES INC,027013,ESVIF
ATKORE INTL GROUP INC,027014,ATKR
GENTERRA CAPITAL CORP  -CL A,027018,GEC.Z.
CONSOL TRILLION RES LTD,027025,3TLNOF
MINACS WORLDWIDE INC,027043,MXW.1
LIBERTY EXPEDIA HOLDINGS INC,027054,LEXEA
BENZ ENERGY INC,027087,BZG.1
UPTON RESOURCES INC,027105,URC.1
URBCO INC,027110,UBC.
ECOBALT SOLUTIONS INC,027112,ECSIF
CENTURION ENERGY INTL INC,027125,CUX.1
ENSERCO ENERGY SERVICE CO,027129,ERC.2
HIP ENERGY CORP,027139,HIPCF
ADVANCEPIERRE FOODS HOLDINGS,027148,APFH
GENTRY RESOURCES LTD,027153,GNY.Z
GLOBAL ELECTION SYSTEMS INC,027169,GLE.3
GOLD CANYON RESOURCES INC,027172,GDCRF
VAALCO ENERGY INC,027199,EGY
TELESIS NORTH COMMUNICATIONS,027248,TNCVF
COURAGE ENERGY INC,027250,CEO.1
ADVANTAGE OIL & GAS LTD,027265,AAVVF
IMPERIAL GINSENG PRODS LTD,027301,IGPFF
UNITED TEX SOL MINES,027302,UTX.Z
CREW GOLD CORP,027309,CRUJF
VERTIV CO -SPN,027326,VRT.WI
INFOCORP COMPUTER SOLUTIONS,027332,IFCSF
INTEPAC CORP,027348,ITX.Z
INTER ASIA EQUITIES INC,027353,IAE.Z
VALVOLINE INC,027373,VVV
NGEX RESOURCES INC,027374,NGQRF
RED TIGER MINING INC,027385,RDTMF
JELD-WEN HOLDING INC,027386,JELD
HILTON GRAND VACATIONS,027393,HGV
PARK HOTELS & RESORTS,027394,PK
JET PACIFIC INVESTMENTS LTD,027451,7991B
KANE INVESTMENT CORP,027467,KIC.1
CARMANAH RESOURCES LTD,027496,CKM.
BLUEPOINT DATA INC,027512,BLP.
PETROKAZAKHSTAN INC,027517,PKZ
TOREX GOLD RESOURCES INC,027519,TORXF
ID BIOMEDICAL CORP,027522,IDBE
CYCOMM INTERNATIONAL INC,027540,CYII
CENTRAL MINERA CORP,027573,3CENMF
ACUSHNET HOLDINGS CORP,027575,GOLF
CORRIENTE RESOURCES INC,027579,CRRRF
WESTERN GEOPOWER CORP,027587,WGP.Z
CIRCA ENTERPRISES INC,027591,CTO.
CRYSTALLEX INTERNATIONAL CP,027598,CRYFQ
CUMBERLAND RESOURCES LTD,027600,CLG
MORGAN FINANCIAL CORP/DE,027613,3408B
HIBERNIA FOODS PLC  -ADR,027622,HIBNY
WESTERN ASST MUNI PARTNRS FD,027625,MNP
CLYDESDALE RESOURCES INC,027637,CEO.H
ALCOA CORP,027638,AA
GST TELECOMM INC,027701,3GSTXQ
INTERNATIONAL SEAWAYS INC,027706,INSW
LINEAR GOLD CORP,027720,3LGCFF
HUMBOLDT CAPITAL CORP,027721,HMB.
CELL GENESYS INC,027747,CEGE
HUMAN PHEROMONE SCIENCES INC,027748,EROX
FIRSTMARK CORP,027749,FIRM
DUNDEE ENERGY LTD,027753,EUGFF
PARAGON TRADE BRANDS INC,027755,3PGTR
SHAMAN PHARMACEUTICALS INC,027756,SHPH
NAUTILUS INC,027760,NLS
CAPSTONE THERAPEUTICS CORP,027765,CAPS
WELLPOINT HEALTH NETWRKS INC,027766,WLP.1
INSIGHTFUL CORP,027771,IFUL
ROCKY BRANDS INC,027776,RCKY
SITE CENTERS CORP,027780,SITC
STANDARD MANAGEMENT CORP,027783,SMAN
HEMAGEN DIAGNOSTICS INC,027784,HMGN
CHESAPEAKE ENERGY CORP,027786,CHK
CENTURA SOFTWARE CORP,027788,MBNEQ
SAGA COMMUNICATIONS  -CL A,027790,SGA
CHROMATICS COLOR SCIENCES,027791,CCSI
CARRAMERICA REALTY CORP,027792,CRE.4
CATALYTICA INC,027793,CTAL.1
CREE INC,027794,CREE
HEALTHSPORT INC,027795,HSPO
C2 AVIATION CAPITAL INC -SPN,027801,CTWO.WI
LSC COMMUNICATIONS INC,027802,LKSD
DONNELLEY FINANCIAL SOLTNS,027803,DFIN
LIVANOVA PLC,027810,LIVN
SHAMARAN PETROLEUM CORP,027813,SHASF
GLOBAL INDUSTRIES LTD,027816,GLBL.1
SPARTA INC/DE,027822,0116A
CRYOLIFE INC,027823,CRY
INTERPHARM HOLDINGS INC,027825,IPAH
BOULDER TOTAL RETURN FUND,027826,BTF
UNIVERSAL ELECTRONICS INC,027828,UEIC
ARGOSY GAMING CO,027842,AGY
DURANGO APPAREL INC,027843,DUAP
ALLERGAN PLC,027845,AGN
RECONDITIONED SYSTEMS INC,027847,RESY
ALL-AMERICAN TERM TRUST INC,027848,3AATTZ
BLACKROCK INVT QULTY MUN TR,027849,BKN
HYPERION 2005 INVT GRADE OPP,027851,HTO
INVESCO CALIF MUNI INCM TR,027852,IIC
INVESCO VALUE MUNI INCM TR,027853,IIM
NUVEEN PREM INCOME MUN FD 4,027854,NPT
GREKA ENERGY CORP,027855,GRKA
PEN INC,027856,PENC
DELAWARE INV MIN MUN INCM II,027857,VMM
DELAWARE INV ARIZ MUN INCOME,027858,VAZ
DELAWARE INV NATL MUN INCM,027859,VFL
ENER1 INC,027873,HEVVQ
EQUITY LIFESTYLE PROPERTIES,027875,ELS
US BIOMEDICAL CORP,027879,USBH
PRIMEDIA INC,027882,PRM
UNITED BANCORP INC/OH,027886,UBCP
BATTERY TECHNOLOGIES INC,027889,BTIO
STATSURE DIAGNOSTIC SYSTEMS,027896,SSUR
SONICBLUE INC,027903,SBLUQ
RELIV INTERNATIONAL INC,027906,RELV
U S CAN CORP,027908,0403B
EASTERN AMERN NATURAL GAS TR,027911,NGT
UNIVERCELL HOLDINGS INC,027912,UVCL
SUPERCONDUCTOR TECHNOLOGIES,027913,SCON
HUMANA INC,027914,HUM
OUT-TAKES INC,027918,JMTM
VICAL INC,027920,VICL
SANDSTON CORP,027921,SDON
ST JOHN KNITS INTL INC,027923,SJKI
FIBERMARK INC,027924,3FMKIQ
AVID TECHNOLOGY INC,027925,AVID
ENCHIRA BIOTECHNOLOGY CORP,027927,3ENBCZ
INTUIT INC,027928,INTU
SOUTHERN ENERGY HOMES INC,027930,SEHI.
HALLMARK FINANCIAL SERVICES,027932,HALL
EACOM TIMBER CORP,027934,3ETRFF
DESTINATION MATERNITY CORP,027936,DEST
PACIFIC SUNWEAR CALIF INC,027937,PSUNQ
SHOE CARNIVAL INC,027938,SCVL
TENAX THERAPEUTICS INC,027939,TENX
AMERN STRATEGIC INCM PTL III,027947,CSP
MARION CAPITAL HOLDINGS INC,027948,MARN.
NUVEEN MASS PREM INCM MUN,027949,NMT
NUVEEN PA PREM INCM MUN FD 2,027950,NPY
NUVEEN MD QUAL MUN INCM FD,027954,NMY
NUVEEN INSD CA PREM INCM MUN,027955,NCL
NUVEENA VA QL MUN INCM FD,027956,NPV
PILLOWTEX CORP,027957,PWTXQ
ALAMO GROUP INC,027960,ALG
AMTROL INC,027961,9726B
DELAWARE INVST DIV & INCOME,027963,DDF
MICROCHIP TECHNOLOGY INC,027965,MCHP
TRICORD SYSTEMS INC,027969,TRCDQ
LEADING BRANDS INC,027971,LBIX
MICROCAP LIQUIDATING TRUST,027972,3MCAPS
WINWIN GAMING INC,027975,WNWN
JARDEN CORP,027980,JAH
CHICOS FAS INC,027981,CHS
AETHLON MEDICAL INC,027983,AEMD
GENESIS EXPLORATION LTD,027984,GEX.2
REPROS THERAPEUTICS INC,027988,RPRX
BROOKSTONE INC,027991,2270B
UNION BANKSHARES LTD/CO,027996,UBSC
APPLIED SIGNAL TECHNOLOGY,027997,APSG
MSYSTEMS LTD,028001,FLSH
GULFTERRA ENERGY PARTNERS-LP,028003,GTM
REVLON CONSUMER PRODUCTS CP,028004,8135A
MAGNA-LAB INC  -CL A,028009,MAGAA
TEXTMUNICATION HOLDINGS -OLD,028016,FSTWD.1
CONSORCIO G GRUPO DINA SA,028017,DINWY
GYMBOREE CORP,028018,0160A
SIGHT RESOURCE CORP,028020,VISNQ
BANCFIRST CORP/OK,028022,BANF
AMARIN CORP,028027,AMRN
WATERFURNACE RENEWABLE ENRGY,028030,WFIFF
WHITE ROSE CRFTS&NRSY,028031,WRL.
CHUBB LTD,028034,CB
HYATT FINANCIAL LTD,028053,HTF.Z
FFW CORP,028058,FFWC
TRANSAT A T INC,028059,TRZBF
CASINO DATA SYSTEMS,028064,CSDS
ADVANSIX INC,028070,ASIX
VALENER INC,028075,VNRCF
NEOWARE INC,028078,NWRE
NEVSUN RESOURCES LTD,028080,NSU
NORZINC LTD,028088,NORZF
SUTTON GROUP RLTY SVCS LTD,028095,SUG.1
HENLEY HEALTHCARE INC,028109,HENL
WINZEN PROPERTIES INC,028111,WZI.H
DY 4 SYSTEMS INC,028117,DYF.1
FOSSIL GROUP INC,028118,FOSL
GGP INC,028119,GGP
JEFFERSON SVGS BANCORP INC,028120,JSBA
NFO WORLDWIDE INC,028125,NFO.1
CAMBRIDGE TECHNOLOGY PARTNER,028130,CATP
BLACKROCK MUNIVEST FUND II,028131,MVT
CENTRAL VIRGINIA BANKSHARES,028135,CVBK
SAFETY FIRST INC,028138,SAFT.1
SANMINA CORP,028139,SANM
WESTERN ASST MANGD HI INC FD,028143,MHY
VAN KAMPEN VALUE MUN INCOME,028144,VKV
WIND RIVER SYSTEMS INC,028145,WIND.1
TRANS CONTINENTAL ENTMT GRP,028146,TCTE
EQUINOX SYSTEMS INC,028147,EQNX.
AVIATION GENERAL INC,028149,AVGE
HEMOSOL CORP,028150,HMSLQ
MIDSOUTH BANCORP INC,028152,MSL
TRICO BANCSHARES,028155,TCBK
INTEGRATED SECURITY SYS -OLD,028156,IZZI.1
SOLIGEN TECHNOLOGIES INC,028157,SGTN
ACCELIO CORP,028165,ACLO.
WILLIAMS COAL SEAM RYL TRUST,028168,WTU
AGRIUM INC,028169,AGU
PEPSI-GEMEX SA DE CV,028170,PGMXY
TCW/DW TERM TRUST 2003,028173,TMT.
ACM MUN SEC INCOME FUND INC,028175,AMU.1
APTARGROUP INC,028176,ATR
GELSTAT CORP,028177,GSAC
PIMCO MUNICIPAL ADV FUND INC,028179,MAF
O'REILLY AUTOMOTIVE INC,028180,ORLY
VERTICAL COMPUTER SYS INC,028181,VCSY
ACTION PERFORMANCE COS INC,028182,ATN.2
IDENTIPHI INC,028184,IDPIQ
PEOPLES BANCTRUST INC,028185,PBTC
INTERLINQ SOFTWARE CORP,028190,INLQ
ROYAL CARIBBEAN CRUISES LTD,028191,RCL
POLYONE CORP,028194,POL
JABIL INC,028195,JBL
UNIZAN FINANCIAL CORP,028200,UNIZ
ELECTRONIC RETAILNG SYS INTL,028203,3ERSI.
RAMTRON INTERNATIONAL CORP,028206,RMTR
ANIKA THERAPEUTICS INC,028209,ANIK
INTERPOOL INC,028214,IPX
MERCHANTS & MFRS BANCORP INC,028215,3MMBI
REINSURANCE GROUP AMER INC,028216,RGA
3DO CO,028217,THDOQ
TECNOMATIX TECHNOLOGIES LTD,028221,TCNO
TEXOIL INC,028229,TXLI
BAESA-BUENOS AIRES EMBOTELLO,028230,BUAEY
BLANCH E W HOLDINGS INC,028231,EWB
GILAT SATELLITE NETWORKS LTD,028236,GILT
MUNIVEST MICH INSD FD INC,028243,MVM.
MUNIVEST N J FUND INC,028245,MVJ
MUNIVEST FLORIDA FUND,028247,MVS.
GLOBAL AVIATION HOLDINGS INC,028248,6039B
CATALYST SEMICONDUCTOR INC,028249,CATS.1
AMFM INC,028250,AFM.3
MEDISYS TECHNOLOGIES INC,028251,SCEP
OCCUPATIONAL HLTH &REHAB INC,028252,OHRI
AUSPEX SYSTEMS INC,028253,ASPXQ
XTO ENERGY INC,028256,XTO
QUAD SYSTEMS CORP,028258,QSYSQ
BLACK HAWK GAMING&DEV CO INC,028260,BHWK
NATUZZI SPA,028262,NTZ
AVIDYN INC,028265,ADYN.
OPTI INC,028266,OPTI.
ALLEGHENY VALLEY BANCORP INC,028267,AVLY
ASTRAZENECA PLC,028272,AZN
BLACKROCK SENIOR HIGH INC FD,028273,ARK
FNF INDUSTRIES INC,028276,FNID
ESQUIRE COMMUNICATIONS LTD,028277,3ESQS
GERMAN AMERICAN BANCORP INC,028278,GABC
RIVERSIDE FOREST PRODUCTS,028281,RFP.1
SANTA FE ENERGY TRUST,028283,SNFEZ
SPECTRUM GROUP INTL INC,028285,SPGZ
PGS ASA,028286,PGSVY
HURRY INC  -CL A,028287,HURY
INTL HI-TECH INDUSTRIES INC,028288,IHITF
NATIONAL HOME CENTERS INC,028291,NHCI
NUVEEN CON QUAL MUN INCM,028292,NTC
NUVEEN NC QUAL MUN INCM FD,028294,NNC
TITAN INTERNATIONAL INC,028295,TWI
CLAYTON WILLIAMS ENERGY INC,028296,CWEI
AINSWORTH LUMBER CO LTD,028298,ANSBF
ENVIRONMENTAL SAFEGUARDS INC,028300,ELSF
NUVEEN GA PREM INCOME MUN FD,028301,NPG
NUVEEN MO QUAL MUN INCM FD,028302,NOM
ELLIS PERRY INTL INC,028303,PERY
DII GROUP INC,028305,DIIG.
HANCOCK J PATRIOT PFD DIV,028306,PPF
PUTNAM MUN OPPORTUNITIES TR,028308,PMO
IPSWICH BANCSHARES INC,028313,IPSW
RESOURCE BANCSHARES MTG GRP,028314,RBMG
VISTA BANCORP INC,028315,VBNJ
FOCUS ENHANCEMENTS INC,028316,FCSEQ
STATION CASINOS INC,028317,STN.1
UTILITY CORP  -CL C,028318,UTC.C
FIRST CINCINNATI INC,028319,3FCNNE
CDW CORP,028320,CDW
FILA HOLDINGS SPA,028321,FLH
HEALTHCARE REALTY TRUST INC,028322,HR
ACADIA REALTY TRUST,028323,AKR
QUANTECH LTD,028324,QTCHQ
TARANTELLA INC,028325,3TTLA
BLACKROCK INVESTMT QLTY MUN,028328,RFA
BLACKROCK NJ INV QLTY MUN TR,028329,RNJ
BLACKROCK NY INV QLTY MUN TR,028330,RNY
BLACKROCK CA INV QLTY MUN TR,028331,RAA
HOLLYWOOD CASINO CORP  -CL A,028332,HWD.1
INNOVATIVE GAMING CORP AMER,028333,IGCA
INVEXANS SA,028334,MAD
SPECIAL OPPORTUNITIES FD INC,028336,SPE
SIGNAL TECHNOLOGY CORP,028337,STCO.1
TRANSOCEAN LTD,028338,RIG
STACKPOLE LTD,028339,SKD.1
TANGER FACTORY OUTLET CTRS,028340,SKT
SKY FINANCIAL GROUP INC,028342,SKYF.
FLOTEK INDUSTRIES INC,028347,FTK
ALLSTATE CORP,028349,ALL
KIMSOUTH REALTY INC,028351,KPT
NORTHSTAR HEALTH SVCS INC,028354,3NSTR.
PLAINTREE SYSTEMS INC,028355,PTEEF
NUTMEG FED SVGS & LN ASSN/CT,028364,NTMG.
OLICOM A/S,028371,OLCMF
INTERLINK ELECTRONICS,028374,LINK
RENAISSANCE ENTMT CORP,028376,FAIR.
LIONS GATE ENTERTAINMENT CP,028378,LGF.A
ORTHOFIX MEDICAL INC,028380,OFIX
TVSL SA,028381,TVSFF
ATTUNITY LTD,028383,ATTU
SAPIENS INTERNATIONAL CORP,028384,SPNS
MAGAL SECURITY SYSTEMS,028385,MAGS
EZCHIP SEMICONDUCTOR LTD,028386,EZCH
ALDILA INC,028388,ALDA.1
ELLETT BROTHERS INC,028395,3ELET
PAPA JOHNS INTERNATIONAL INC,028397,PZZA
SUNGLASS HUT INTL INC,028398,RAYS.
TAIGA BUILDING PRODUCTS LTD,028399,TGAFF
RYAN ENERGY TECHNOLOGIES INC,028400,RYN.
MONDAVI ROBERT CORP  -CL A,028403,MOND
INVESCO CALIF VALUE MUN INCM,028404,VCV
VAN KAMPEN NY VALUE MUN INC,028405,VNV.
INVESCO PA VALUE MUN INCM TR,028406,VPV
GENTHERM INC,028408,THRM
BANCO GALICIA BUENOS AIRES,028409,3BGALF
BARRETT BUSINESS SVCS INC,028410,BBSI
LENOX GROUP INC,028414,LENXQ
SEMAFO INC,028415,SEMFF
ROCK ENERGY RESOURCES INC,028429,RCKE
GLOBETECH VENTURES CORP,028432,GTVCF
STORAGE ENGINE INC,028433,SENGQ
BELL MICROPRODUCTS INC,028435,BELM
COMMERCIAL BANK/NY,028437,CBNY.1
INVESCO VAN KAMPEN MA VALUE,028443,VMV
VAN KAMPEN NJ VALUE MUN INC,028444,VJV
VAN KAMPEN OHIO VALUE MUN IN,028445,VOV
DONNKENNY INC,028450,DNKYQ
MASISA SA,028453,MYS.1
LA SENZA CORP,028455,LSZ.1
SUBSEA 7 SA,028456,SUBCY
AMERICAN MUN INCOME PTFL INC,028457,XAA
BLACKROCK BROAD INVT GRADE,028458,BCT
WESTERN ASST EMG MKT INCM FD,028459,EMD.2
FX ENERGY INC,028460,FXEN
TRESTLE HOLDINGS INC -OLD,028461,3TLHO.
LIBBEY INC,028462,LBY
NUVEEN CA PREM INCOME MUN FD,028463,NCU
PUTNAM MANAGED HIGH YIELD TR,028468,PTM.2
REXALL SUNDOWN INC,028469,RXSD
THORNBURG MORTGAGE INC,028471,THMRQ
NUVEEN MINNESOTA QUAL MUN,028473,NMS
ST FRANCIS CAPITAL CORP,028474,STFR
EMARKETPLACE INC,028476,SMKG
FLIR SYSTEMS INC,028477,FLIR
ADVANCED MATERIALS GROUP INC,028483,ADMGQ
COLLIERS INTL GROUP INC,028485,CIGI
RESILIENT RESOURCES LTD,028486,RRL.1
SAF T LOK INC,028488,3LOCKE
SARATOGA BEVERAGE GP  -CL A,028489,TOGA
WAYNE SAVINGS BANCSHARES INC,028490,WAYN
MBLA FINANCIAL CORP,028496,MBLF
MMI COMPANIES INC,028497,MMI.2
YUM CHINA HOLDINGS INC,028499,YUMC
BACK YARD BURGERS INC,028501,BYBI
ELECTROGLAS INC,028502,EGLSQ
GLOBAL EPOINT INC,028504,GEPT
AMERICAN RESTAURANT GROUP,028511,8297B
ELEPHANT & CASTLE GROUP INC,028512,3PUBSF
FFY FINANCIAL CORP,028513,FFYF
SHILOH INDUSTRIES INC,028518,SHLO
YACIMIENTOS PETE FISCALES SA,028520,YPF
DELTA & PINE LAND CO,028524,DLP
HUNTCO INC  -CL A,028528,3HCOIQ
AER ENERGY RESOURCES INC,028532,AERN
PLIANT SYSTEMS INC,028533,PLNS
GRUPO SIMEC SA DE CV,028535,SIM
PINNACLE MICRO INC,028538,PNLEQ
REGAL CINEMAS INC,028539,3615B
GRUPO RADIO CENTRO SA DE CV,028541,GRDCY
SUN HEALTHCARE GROUP INC,028543,SUNH
CALIFORNIA CULINARY ACADEMY,028546,COOK
COGECO COMMUNICATIONS INC,028555,CGEAF
SIMON WORLDWIDE INC,028556,SWWI
ALTA GENETICS INC,028562,AGI.1
REVO BIOLOGICS INC  -REDH,028563,RBIO
STONE ENERGY CORP,028564,SGY
MISSISSIPPI VALLEY BANCSHRS,028573,MVBI
PET VALU CANADA INC,028575,PVC.Z
SURETY CAPITAL CORP,028577,SRYP
CELESTIAL SEASONINGS INC,028579,CTEA
FOURTH SHIFT CORP,028585,FSFT
VAN KAMPEN MUN OPPTY II,028587,VOT.1
SNIPGOLD CORP,028588,SYGCF
BRINKS CO,028590,BCO
BLACKROCK CORP HIGH YLD FD,028595,COY
WATCHIT TECHNOLOGIES INC,028597,WTCT
HOLLYWOOD ENTERTAINMENT CORP,028600,HLYW
TRANSPORT TECH INDS INC-REDH,028602,TTII.2
METROCALL HOLDINGS INC,028603,MTOH
MORGAN STAN EMG MKT DEBT FD,028605,MSD
BLACKROCK MUNIASSETS FUND,028606,MUA
POST PROPERTIES INC,028608,PPS
SMK SPEEDY INTERNATIONAL INC,028609,SMK.
DIGITAL PRIVACY INC  -CL A,028611,3DGPVE
MIDISOFT CORP,028615,3MIDI
RURAL/METRO CORP,028616,RURL
EK CHOR CHINA MOTORCYCLE CO,028617,EKC.1
LEADINGSIDE INC,028618,LDSD
FIRST DEFIANCE FINANCIAL CP,028620,FDEF
FLYI INC,028622,FLYIQ
PRIMESOURCE CORP,028623,PSRC.1
STARCRAFT CORP,028624,STCR.
CAMDEN PROPERTY TRUST,028629,CPT
HI-RISE RECYCLING SYSTEMS,028630,HIRI
MORGAN GROUP INC  -CL A,028632,MGGP
NUVEEN PREM INCM MUNI OPPY,028634,NPX
UNITEDGLOBALCOM INC  -CL A,028637,UCOMA
DELAWARE INV CO MUN INCM FD,028638,VCF
KEY TECHNOLOGY INC,028641,KTEC
BLACKROCK MASS TAX-EXEMPT TR,028643,MHE
WESTERN ASST MUNI PTNR FD II,028644,MPT.Z
PETSMART INC,028648,PETM
SOUTHWESTERN RESOURCES CORP,028649,SWG.Z
SINOPEC SHANGHAI PETROCHEM,028653,SHI
ALLIANCEBERNSTEIN GLB HI INC,028654,AWF
CHINA ENTERPRISES LTD,028656,CSHEF
RICHELIEU HARDWARE LTD,028661,RHUHF
RENASANT FINANCIAL PARTNERS,028664,REN.Z
BANCA QUADRUM SA,028666,QDRMY
AGRICORE UNITED,028667,AU.Z
CYGNE DESIGNS INC,028668,CYDS
TANDY LEATHER FACTORY INC,028675,TLF
WESTPOINT STEVENS INC,028676,WSPTQ
ACTEL CORP,028678,ACTL.1
CONDUCTUS INC,028690,CDTS
ALLEGRO BIODIESEL CORP,028691,ABDS
NSD BANCORP INC,028696,NSDB
NATIONAL RECORD MART INC,028697,NRMI
PROXYMED INC,028699,PILLQ
QRS CORP,028700,QRSI
RALSTON PURINA CO,028701,RAL.
MONARCH CASINO & RESORT INC,028704,MCRI
RFS HOTEL INVESTORS INC,028706,RFS
UNAPIX ENTERTAINMENT INC,028707,UPXE
ALLIANCE ATLANTIS COMM -CL B,028708,AACB
HUMMINGBIRD LTD,028711,HUMC
ATRM HOLDINGS INC,028712,ATRM
CROWN AMER REALTY TRUST,028714,CWN
BERKELEY TECHNOLOGY LTD,028716,BKLYY
INNODATA INC,028717,INOD
CONDUENT INC,028719,CNDT
BALLARD POWER SYSTEMS INC,028724,BLDP
FUTURE SHOP LTD,028727,FSS.1
HANOVER FOODS CORP/PA,028730,HNFSA
EMPLOYEE SOLUTIONS INC,028732,EPYS
EQUITY RESIDENTIAL,028733,EQR
NATIONAL GOLF PPTYS INC,028735,TEE.
MIDNIGHT HOLDINGS GROUP INC,028736,MHGI
RENT WAY INC,028737,RWY
WELLCARE MGMT GROUP,028739,3WELL.
APPLIED BIOMETRICS INC,028740,ABIO.1
